Artist,song_album,Title,song_release_date
Kina,Nobody Cares,Nobody Cares,2018-03-05
XXXTENTACION,17,Everybody Dies In Their Nightmares,2017-08-25
Ondi Vil,I Know You So Well,I Know You So Well,2018-02-12
SHRK,Lost in Love,You're so Unfair,2018-05-30
Peachy!,Falling for U,Falling for U,2017-08-14
Nohidea,Smile,Smile,2016-11-11
Jordan Maxwell,Waiting (feat. Shiloh),Waiting (feat. Shiloh),2018-01-13
XXXTENTACION,17,Jocelyn Flores,2017-08-25
Roderick Porter,Baby,Baby,2019-11-16
Roderick Porter,I Didn't Realize How Empty My Bed Was Until You Left,I Didn't Realize How Empty My Bed Was Until You Left,2018-10-27
Roderick Porter,Ghost,Ghost,2019-01-07
Roderick Porter,"Rainy Tapes, Vol. 1",Out of My Mind,2018-08-03
Roderick Porter,"Rainy Tapes, Vol. 1",You,2018-08-03
Joji,BALLADS 1,SLOW DANCING IN THE DARK,2018-10-26
Joji,Gimme Love (Channel Tres Remix),Gimme Love,2020-04-10
Joji,BALLADS 1,YEAH RIGHT,2018-10-26
Joji,Sanctuary,Sanctuary,2019-06-14
Joji,In Tongues (Deluxe),I Don't Wanna Waste My Time,2018-02-14
Joji,BALLADS 1,I'LL SEE YOU IN 40,2018-10-26
Joji,BALLADS 1,TEST DRIVE,2018-10-26
Joji,BALLADS 1,ATTENTION,2018-10-26
Joji,BALLADS 1,R.I.P. (feat. Trippie Redd),2018-10-26
zack villere,Little World,Bloo,2017-06-16
XXXTENTACION,?,the remedy for a broken heart (why am I so in love),2018-03-16
Floreyyyy,Intimacy,Novocaine (feat. Shiloh),2018-01-05
Peachy!,$orries,$orries,2018-04-10
Idealism,rainy evening,controlla,2017-08-30
Timmies,Passion & Confusion,I Dont Wanna Know Her,2017-09-21
Kuzu Mellow,Sunflower Feelings,Sunflower Feelings,2017-05-17
Burbank,"Sorry, I Like You","Sorry, I Like You",2017-08-08
BØJET,Sleepwalk,Holding Hands with You,2017-09-03
